Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,23302.83199,24014.94427,25921.02605,27546.89939,24631.43486,24271.94042,25324.72036,,,,,,
Afghanistan,AFG,250.2941299,272.563077,369.835796,373.3611163,445.8932979,553.3002894,603.5370231,669.0090509,638.6125432,629.3452504,569.5779229,561.7787463,585.8500638
Angola,AGO,1443.991924,2062.415212,2878.837305,3868.579014,3347.8449,3531.416878,4299.008136,4539.467689,4804.633826,4707.578098,3683.552607,3308.772828,4170.31228
Albania,ALB,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832,4437.178068,4247.614308,4413.081697,4578.666728,3952.830781,4131.872341,4537.862492
Andorra,AND,41282.02012,43748.77216,48582.80846,47785.65909,43339.37987,39736.35406,41098.76694,38391.08087,40619.7113,42294.99473,36038.2676,37231.81567,39146.54884
United Arab Emirates,ARE,39439.80197,42372.22166,42672.61323,45758.90554,33072.57517,35037.89267,40434.36635,42086.68995,43315.14149,44443.06151,39122.04971,38517.80039,40698.84934
Argentina,ARG,5076.883829,5878.761027,7193.61764,8953.359275,8161.306966,10276.2605,12726.90836,12969.70712,12976.63642,12245.25645,13698.29344,12654.355,14401.97485
Armenia,ARM,1643.758543,2158.002909,3138.808703,4010.026997,2993.832531,3218.381655,3526.978143,3684.80481,3843.591213,3994.712355,3617.935746,3605.743117,3936.79832
American Samoa,ASM,8508.406915,8456.947997,8980.536414,9871.997194,12058.26382,10352.82276,10375.99422,11660.32953,11589.853,11598.75174,11865.96323,11834.74523,
Antigua and Barbuda,ATG,11452.7388,12812.76447,14350.91905,14797.36842,13082.28166,12174.69786,11931.20411,12517.55793,12194.60876,12946.98694,13659.14791,14462.17628,15021.73818
Australia,AUS,33961.6818,36019.20305,40905.47089,49535.25787,42709.8033,51936.88871,62411.78545,67864.68986,67990.29003,62327.55594,56561.41238,49896.6811,53799.93809
Austria,AUT,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51704.54119,44206.78428,44731.01086,47290.91165
Azerbaijan,AZE,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4131.61831
Burundi,BDI,150.5070434,165.8794176,170.7999005,196.2472628,204.9446502,231.1943256,260.4799073,265.2856051,282.7555252,312.7489794,300.6765569,285.7274421,320.0868701
Belgium,BEL,36967.25918,38852.37293,44403.7669,48424.5756,44880.57302,44380.17663,47702.81189,44740.58325,46582.66955,47351.97418,40361.15419,41260.97755,43323.80734
Benin,BEN,601.799977,625.830092,706.0535419,820.1513498,793.45243,757.6959074,825.9427854,837.9505001,915.3281554,943.686575,783.9630778,788.5324424,829.7972306
Burkina Faso,BFA,406.9988071,420.5825233,475.1100122,569.7612784,552.7455521,575.4464527,666.8404101,673.8228182,699.781537,703.8216565,575.3144542,613.9931275,670.7059131
Bangladesh,BGD,484.1554071,494.0501466,541.0651484,615.7775411,681.1205368,757.6717572,835.7893401,856.342857,951.8894535,1084.56543,1210.158769,1358.779029,1516.513423
Bulgaria,BGR,3869.529455,4490.201777,5885.949252,7261.754492,6969.558557,6843.26695,7813.806692,7378.02473,7674.861867,7853.332937,6993.475544,7469.447703,8031.598442
Bahrain,BHR,17959.17854,19307.99549,20977.11053,23067.56535,19356.67236,20722.10389,22512.1596,23649.36661,24737.17178,24983.37902,22688.87824,22560.58127,23655.0356
"Bahamas, The",BHS,29874.65414,30274.99032,31018.02949,30188.48444,28129.6075,27979.11493,27472.25617,28815.5274,28171.986,28671.34697,30483.8201,30260.30591,30762.01244
Bosnia and Herzegovina,BIH,2968.411806,3404.321698,4180.292176,5078.314577,4701.334426,4614.829041,5054.325344,4722.013403,5042.582213,5204.243718,4584.242548,4808.636043,5180.636301
Belarus,BLR,3125.810535,3847.434124,4735.657608,6377.369732,5176.26383,6029.3968,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643,5726.029673
Belize,BLZ,3933.332215,4187.37803,4324.876427,4470.220796,4258.788611,4344.150177,4517.137719,4673.791435,4685.249476,4844.981859,4950.256062,4960.181794,4905.506284
Bermuda,BMU,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,,,,
Bolivia,BOL,1046.427384,1233.594435,1389.637343,1736.935051,1776.866476,1981.160705,2377.675918,2645.227753,2947.938526,3124.00031,3077.026199,3117.330459,3393.955818
Brazil,BRA,4770.183845,5860.145829,7313.557773,8787.610658,8553.381368,11224.15408,13167.47289,12291.46685,12216.90446,12026.61939,8750.222996,8639.365743,9821.407686
Barbados,BRB,14223.25544,15439.99215,16381.49556,16613.71922,15922.90013,15959.02979,16610.41835,16536.21464,16326.91348,16261.79932,16129.04928,15891.62655,16788.68392
Brunei Darussalam,BRN,26102.13345,30980.96692,32672.36717,37951.2806,27965.47504,35268.10117,47017.0273,47651.25909,44597.27968,41530.66898,30967.89051,26939.41805,28290.5852
Bhutan,BTN,1247.061392,1335.456906,1741.142552,1795.181307,1770.234497,2178.921383,2458.045976,2422.008016,2350.882889,2504.717407,2615.31022,2773.547135,3110.230113
Botswana,BWA,5351.253732,5374.554867,5714.047936,5623.379566,5185.729845,6346.156204,7645.214612,7029.23145,7007.625786,7493.763994,6527.508161,6954.174306,7595.59585
Canada,CAN,36189.58838,40386.69948,44544.5268,46596.33599,40773.45436,47447.47602,52082.21076,52496.69487,52418.31506,50633.20882,43525.37019,42348.94546,45032.11991
Switzerland,CHE,54952.67372,57579.50195,63555.2375,72487.84593,69927.46877,74605.72102,88415.62806,83538.23008,85112.4644,86605.56338,82016.02131,79866.03187,80189.69686
Channel Islands,CHI,57210.73229,62261.82801,73569.64496,,,,,,,,,,
Chile,CHL,7615.30468,9484.681227,10526.87746,10781.36608,10243.32824,12860.17764,14705.69242,15431.90293,15941.39722,14794.31583,13736.63569,13960.89421,15346.4497
China,CHN,1753.417829,2099.229435,2695.365917,3471.248054,3838.433972,4560.512586,5633.795717,6337.883323,7077.770765,7683.502613,8069.213024,8117.267465,8826.994096
Cote d'Ivoire,CIV,931.754287,951.9478956,1065.896375,1242.431044,1217.749206,1219.749096,1214.703946,1262.480218,1423.682282,1569.928275,1434.326615,1535.068121,1662.442467
Cameroon,CMR,1030.038193,1081.369831,1215.808213,1396.824988,1338.884377,1309.122208,1429.647553,1380.509848,1493.746567,1571.182535,1353.92449,1374.515899,1446.702895
"Congo, Dem. Rep.",COD,218.5235092,255.5913138,286.5075372,327.7676543,298.8069562,334.2317394,387.3235796,424.8591337,458.1253652,487.1982806,497.6297557,444.4103346,457.8473868
"Congo, Rep.",COG,1637.064381,2012.11007,2111.209489,2881.594116,2255.333119,2737.34233,3196.647524,2952.052348,2964.572989,2910.520226,1712.121146,1528.24472,1658.043625
Colombia,COL,3386.0256,3709.078776,4674.21961,5433.72045,5148.422113,6250.655044,7227.73968,7884.984429,8030.58603,7913.383432,6044.525556,5756.861602,6301.589878
Comoros,COM,621.9033702,648.3008717,720.7593013,795.9705019,778.5454199,769.1742883,829.7586885,788.632653,834.3410949,852.9543079,727.6463868,775.0800846,797.2863685
Cabo Verde,CPV,2048.13459,2304.289902,3112.285601,3638.905946,3444.5566,3312.825985,3670.429453,3408.482762,3558.796313,3529.618403,2995.150553,3037.525642,3209.69112
Costa Rica,CRI,4697.011135,5245.187372,6120.6234,6911.136152,6809.396224,8199.414621,9186.59639,9985.36959,10569.66631,10630.9979,11393.02395,11732.71055,11630.6684
Caribbean small states,CSS,7214.815533,8024.01364,8855.473496,9988.74494,8365.033888,9039.288633,9728.001302,9976.727227,10026.67409,10125.40682,9842.968671,9355.868253,9517.932644
Cuba,CUB,3779.05707,4669.060916,5184.494227,5376.447622,5484.7763,5676.141403,6075.924306,6425.941119,6760.15344,7050.50199,7602.261218,,
Curacao,CUW,,,,,,,,,,,,,
Cayman Islands,CYM,,64100.9077,,,,,,,,,,,
Cyprus,CYP,25324.48666,27169.99256,31386.63265,35390.70488,32105.8159,30818.46396,32233.83942,28984.91481,27942.31667,27400.80299,23212.2247,23541.48825,25233.57098
Czech Republic,CZE,13346.17639,15183.63605,18373.649,22698.85396,19741.59763,19808.07109,21717.45794,19729.87051,19916.01939,19744.55861,17715.61685,18483.71648,20368.13856
Germany,DEU,34696.62092,36447.87232,41814.8191,45699.19832,41732.70725,41785.55691,46810.32796,44065.24891,46530.91143,48042.56343,41323.9215,42232.57421,44469.90906
Djibouti,DJI,904.7297489,965.6693779,1047.586896,1214.077118,1253.657431,1325.990724,1430.986898,1536.150685,1477.363042,1595.146365,1761.610158,1872.234623,1927.589706
Dominica,DMA,5244.033732,5513.16071,5939.053585,6446.663832,6866.224899,6912.435714,6986.046687,6745.849758,6933.415183,7195.393297,7313.849428,7906.721742,7609.614349
